date,location,windgustdir,windgustspeed,winddir9am,winddir3pm,windspeed9am,windspeed3pm
11/1/2007,Canberra,NW,30,SW,NW,6,20
11/2/2007,Canberra,ENE,39,E,W,4,17
11/3/2007,Canberra,NW,85,N,NNE,6,6
11/4/2007,Canberra,NW,54,WNW,W,30,24
11/5/2007,Canberra,SSE,50,SSE,ESE,20,28
11/6/2007,Canberra,SE,44,SE,E,20,24
11/7/2007,Canberra,SE,43,SE,ESE,19,26
11/8/2007,Canberra,E,41,SE,E,11,24
11/9/2007,Canberra,S,48,E,ENE,19,17
11/10/2007,Canberra,E,31,S,ESE,7,6
11/11/2007,Canberra,N,30,SE,NW,6,9
11/12/2007,Canberra,E,41,E,NW,2,15
11/13/2007,Canberra,WNW,30,S,NW,6,7
11/14/2007,Canberra,NW,44,WNW,W,7,20
11/15/2007,Canberra,NW,41,S,W,6,20
11/16/2007,Canberra,E,46,SE,WSW,7,9
11/17/2007,Canberra,ESE,44,WSW,W,6,19
11/18/2007,Canberra,S,52,SW,NE,6,11
11/19/2007,Canberra,E,39,NNE,W,4,17
11/20/2007,Canberra,NE,33,NNW,NNW,2,13
11/21/2007,Canberra,WNW,59,N,NW,2,31
11/22/2007,Canberra,E,26,ENE,E,6,11
11/23/2007,Canberra,ESE,28,S,SE,13,13
11/24/2007,Canberra,NNE,26,WSW,NE,6,9
11/25/2007,Canberra,ENE,33,SSE,NE,9,15
11/26/2007,Canberra,E,41,E,E,6,22
11/27/2007,Canberra,ENE,39,E,E,20,17
11/28/2007,Canberra,S,52,S,NNE,6,11
11/29/2007,Canberra,SE,39,SE,SE,7,17
11/30/2007,Canberra,NNW,30,SSW,S,6,6
12/1/2007,Canberra,SSE,41,E,S,6,20
12/2/2007,Canberra,NNE,41,E,SW,6,9
12/3/2007,Canberra,NW,50,WNW,NW,13,35
12/4/2007,Canberra,NW,50,NW,WNW,20,26
12/5/2007,Canberra,ENE,43,ESE,E,11,30
12/6/2007,Canberra,ENE,39,ESE,ESE,13,9
12/7/2007,Canberra,SW,41,NW,N,6,6
12/8/2007,Canberra,NE,39,E,N,7,13
12/9/2007,Canberra,NW,43,N,W,9,24
12/10/2007,Canberra,NNW,35,NNE,WNW,11,6
12/11/2007,Canberra,ENE,35,ESE,E,9,15
12/12/2007,Canberra,ENE,41,ESE,E,15,24
12/13/2007,Canberra,SE,39,ESE,E,22,20
12/14/2007,Canberra,E,35,NNW,N,6,11
12/15/2007,Canberra,E,41,SE,WNW,2,13
12/16/2007,Canberra,S,31,SSE,NE,6,7
12/17/2007,Canberra,ESE,48,SSE,ESE,13,20
12/18/2007,Canberra,ENE,39,SE,E,13,20
12/19/2007,Canberra,NE,22,NE,ENE,7,6
12/20/2007,Canberra,NNW,30,N,NW,4,13
12/21/2007,Canberra,N,41,NW,NW,6,22
12/22/2007,Canberra,NNW,76,N,WNW,41,30
12/23/2007,Canberra,ENE,39,N,N,9,20
12/24/2007,Canberra,NW,44,NNW,WNW,7,13
12/25/2007,Canberra,E,41,SE,NE,11,11
12/26/2007,Canberra,NNW,41,W,NNW,6,19
12/27/2007,Canberra,NNW,65,N,NNW,7,48
12/28/2007,Canberra,NNW,28,NNW,NW,6,13
12/29/2007,Canberra,NNW,30,NW,N,6,7
12/30/2007,Canberra,E,39,SSW,ESE,6,22
12/31/2007,Canberra,NE,31,SSE,NE,7,9
1/1/2008,Canberra,NNE,35,ESE,W,2,11
1/2/2008,Canberra,ESE,41,ESE,WSW,2,9
1/3/2008,Canberra,ESE,50,ESE,ESE,20,24
1/4/2008,Canberra,ESE,46,ESE,ESE,24,26
1/5/2008,Canberra,NE,35,SSE,E,7,15
1/6/2008,Canberra,ENE,39,W,NNW,6,19
1/7/2008,Canberra,ENE,39,E,NW,11,11
1/8/2008,Canberra,E,46,E,N,7,9
1/9/2008,Canberra,E,43,E,ENE,13,11
1/10/2008,Canberra,NE,33,WNW,NW,6,11
1/11/2008,Canberra,SSE,57,NNW,NW,6,19
1/12/2008,Canberra,SW,50,E,WNW,4,17
1/13/2008,Canberra,WNW,52,NNW,W,6,24
1/14/2008,Canberra,E,50,E,ENE,13,19
1/15/2008,Canberra,W,35,E,NW,7,15
1/16/2008,Canberra,N,59,N,NNE,15,20
1/17/2008,Canberra,E,46,ESE,ESE,20,28
1/18/2008,Canberra,ESE,39,ESE,ESE,17,19
1/19/2008,Canberra,NE,33,SSE,NNE,9,13
1/20/2008,Canberra,NW,50,NW,WNW,19,28
1/21/2008,Canberra,E,48,SSE,ESE,17,22
1/22/2008,Canberra,E,33,SE,S,11,7
1/23/2008,Canberra,NE,28,SE,E,7,7
1/24/2008,Canberra,ENE,35,SE,NE,6,11
1/25/2008,Canberra,E,41,E,NE,9,17
1/26/2008,Canberra,NNE,28,NW,SSW,4,7
1/27/2008,Canberra,WSW,46,N,WNW,4,26
1/28/2008,Canberra,NNW,44,NNE,NW,4,24
1/29/2008,Canberra,ENE,46,S,W,6,11
1/30/2008,Canberra,NW,69,N,W,6,13
1/31/2008,Canberra,ESE,39,N,NNW,13,13
2/1/2008,Sydney,NA,NA,S,SSW,17,20
2/1/2008,Canberra,SSE,30,SE,ESE,11,11
2/2/2008,Sydney,NA,NA,W,E,9,13
2/2/2008,Canberra,NNE,30,SSE,NNE,7,11
2/3/2008,Sydney,NA,NA,ESE,ESE,17,2
2/3/2008,Canberra,E,48,SE,ESE,9,17
2/4/2008,Sydney,NA,NA,NNE,E,22,20
2/4/2008,Canberra,ENE,33,SSE,ENE,7,13
2/5/2008,Sydney,NA,NA,NNE,W,11,6
2/5/2008,Canberra,ESE,30,S,SSE,7,11
2/6/2008,Sydney,NA,NA,W,ENE,9,22
2/6/2008,Canberra,W,52,NW,WNW,6,24
2/7/2008,Sydney,NA,NA,W,S,15,15
2/7/2008,Canberra,SSW,61,N,NNW,11,20
2/8/2008,Sydney,NA,NA,S,SE,7,15
2/8/2008,Canberra,ENE,41,ESE,ESE,7,20
2/9/2008,Sydney,NA,NA,SSW,W,19,9
2/9/2008,Canberra,SSE,33,S,S,15,17
2/10/2008,Sydney,NA,NA,W,SSE,11,20
2/10/2008,Canberra,ENE,41,SSE,W,17,13
2/11/2008,Sydney,NA,NA,WNW,E,9,26
2/11/2008,Canberra,NE,31,SE,NE,7,13
2/12/2008,Sydney,NA,NA,N,NE,7,24
